From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P16333	P16333	reviewed	NCK1_HUMAN	Cytoplasmic protein NCK1 (NCK adaptor protein 1) (Nck-1) (SH2/SH3 adaptor protein NCK-alpha)	NCK1 NCK	Homo sapiens (Human)	377
O94808	O94808	reviewed	GFPT2_HUMAN	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 2) (Glutamine:fructose-6-phosphate amidotransferase 2) (GFAT 2) (GFAT2) (Hexosephosphate aminotransferase 2)	GFPT2	Homo sapiens (Human)	682
Q12791	Q12791	reviewed	KCMA1_HUMAN	Calcium-activated potassium channel subunit alpha-1 (BK channel) (BKCA alpha) (Calcium-activated potassium channel, subfamily M subunit alpha-1) (K(VCA)alpha) (KCa1.1) (Maxi K channel) (MaxiK) (Slo-alpha) (Slo1) (Slowpoke homolog) (Slo homolog) (hSlo)	KCNMA1 KCNMA SLO	Homo sapiens (Human)	1236
P56945	P56945	reviewed	BCAR1_HUMAN	Breast cancer anti-estrogen resistance protein 1 (CRK-associated substrate) (Cas scaffolding protein family member 1) (p130cas)	BCAR1 CAS CASS1 CRKAS	Homo sapiens (Human)	870
Q9UK59	Q9UK59	reviewed	DBR1_HUMAN	Lariat debranching enzyme (EC 3.1.-.-)	DBR1	Homo sapiens (Human)	544
Q9Y2U5	Q9Y2U5	reviewed	M3K2_HUMAN	Mitogen-activated protein kinase kinase kinase 2 (EC 2.7.11.25) (MAPK/ERK kinase kinase 2) (MEK kinase 2) (MEKK 2)	MAP3K2 MAPKKK2 MEKK2	Homo sapiens (Human)	619
Q9NZL6	Q9NZL6	reviewed	RGL1_HUMAN	Ral guanine nucleotide dissociation stimulator-like 1 (RalGDS-like 1)	RGL1 KIAA0959 RGL	Homo sapiens (Human)	768
O75815	O75815	reviewed	BCAR3_HUMAN	Breast cancer anti-estrogen resistance protein 3 (Novel SH2-containing protein 2) (SH2 domain-containing protein 3B)	BCAR3 NSP2 SH2D3B UNQ271/PRO308	Homo sapiens (Human)	825
Q6ZS30	Q6ZS30	reviewed	NBEL1_HUMAN	Neurobeachin-like protein 1 (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 16 protein) (Amyotrophic lateral sclerosis 2 chromosomal region candidate gene 17 protein)	NBEAL1 ALS2CR16 ALS2CR17	Homo sapiens (Human)	2694
Q9H7D7	Q9H7D7	reviewed	WDR26_HUMAN	WD repeat-containing protein 26 (CUL4- and DDB1-associated WDR protein 2) (Myocardial ischemic preconditioning up-regulated protein 2)	WDR26 CDW2 MIP2 PRO0852	Homo sapiens (Human)	661
P11171	P11171	reviewed	EPB41_HUMAN	Protein 4.1 (P4.1) (4.1R) (Band 4.1) (EPB4.1) (Erythrocyte membrane protein band 4.1)	EPB41 E41P	Homo sapiens (Human)	864
Q8IW52	Q8IW52	reviewed	SLIK4_HUMAN	SLIT and NTRK-like protein 4	SLITRK4	Homo sapiens (Human)	837
P35222	P35222	reviewed	CTNB1_HUMAN	Catenin beta-1 (Beta-catenin)	CTNNB1 CTNNB OK/SW-cl.35 PRO2286	Homo sapiens (Human)	781
Q9Y4F9	Q9Y4F9	reviewed	RIPR2_HUMAN	Rho family-interacting cell polarization regulator 2	RIPOR2 C6orf32 DIFF48 FAM65B KIAA0386 PL48	Homo sapiens (Human)	1068
O43318	O43318	reviewed	M3K7_HUMAN	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	MAP3K7 TAK1	Homo sapiens (Human)	606
P41208	P41208	reviewed	CETN2_HUMAN	Centrin-2 (Caltractin isoform 1)	CETN2 CALT CEN2	Homo sapiens (Human)	172
A2RRP1	A2RRP1	reviewed	NBAS_HUMAN	NBAS subunit of NRZ tethering complex (Neuroblastoma-amplified gene protein) (Neuroblastoma-amplified sequence)	NBAS NAG	Homo sapiens (Human)	2371
Q16825	Q16825	reviewed	PTN21_HUMAN	Tyrosine-protein phosphatase non-receptor type 21 (EC 3.1.3.48) (Protein-tyrosine phosphatase D1)	PTPN21 PTPD1	Homo sapiens (Human)	1174
P20020	P20020	reviewed	AT2B1_HUMAN	Plasma membrane calcium-transporting ATPase 1 (EC 7.2.2.10) (Plasma membrane calcium ATPase isoform 1) (PMCA1) (Plasma membrane calcium pump isoform 1)	ATP2B1 PMCA1	Homo sapiens (Human)	1220
O00505	O00505	reviewed	IMA4_HUMAN	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	KPNA3 QIP2	Homo sapiens (Human)	521
Q9UPN4	Q9UPN4	reviewed	CP131_HUMAN	Centrosomal protein of 131 kDa (5-azacytidine-induced protein 1) (Pre-acrosome localization protein 1)	CEP131 AZI1 KIAA1118	Homo sapiens (Human)	1083
Q68EM7	Q68EM7	reviewed	RHG17_HUMAN	Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1)	ARHGAP17 RICH1 MSTP066 MSTP110	Homo sapiens (Human)	881
Q9C040	Q9C040	reviewed	TRIM2_HUMAN	Tripartite motif-containing protein 2 (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM2) (RING finger protein 86) (RING-type E3 ubiquitin transferase TRIM2)	TRIM2 KIAA0517 RNF86	Homo sapiens (Human)	744
P55198	P55198	reviewed	AF17_HUMAN	Protein AF-17 (ALL1-fused gene from chromosome 17 protein)	MLLT6 AF17	Homo sapiens (Human)	1093
Q7Z5K2	Q7Z5K2	reviewed	WAPL_HUMAN	Wings apart-like protein homolog (Friend of EBNA2 protein) (WAPL cohesin release factor)	WAPL FOE KIAA0261 WAPAL	Homo sapiens (Human)	1190
Q96PU4	Q96PU4	reviewed	UHRF2_HUMAN	E3 ubiquitin-protein ligase UHRF2 (EC 2.3.2.27) (Np95/ICBP90-like RING finger protein) (Np95-like RING finger protein) (Nuclear protein 97) (Nuclear zinc finger protein Np97) (RING finger protein 107) (RING-type E3 ubiquitin transferase UHRF2) (Ubiquitin-like PHD and RING finger domain-containing protein 2) (Ubiquitin-like-containing PHD and RING finger domains protein 2)	UHRF2 NIRF RNF107	Homo sapiens (Human)	802
Q5VWG9	Q5VWG9	reviewed	TAF3_HUMAN	Transcription initiation factor TFIID subunit 3 (140 kDa TATA box-binding protein-associated factor) (TBP-associated factor 3) (Transcription initiation factor TFIID 140 kDa subunit) (TAF(II)140) (TAF140) (TAFII-140) (TAFII140)	TAF3	Homo sapiens (Human)	929
P57682	P57682	reviewed	KLF3_HUMAN	Krueppel-like factor 3 (Basic krueppel-like factor) (CACCC-box-binding protein BKLF) (TEF-2)	KLF3 BKLF	Homo sapiens (Human)	345
Q8IZ21	Q8IZ21	reviewed	PHAR4_HUMAN	Phosphatase and actin regulator 4	PHACTR4 PRO2963	Homo sapiens (Human)	702
Q12996	Q12996	reviewed	CSTF3_HUMAN	Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)	CSTF3	Homo sapiens (Human)	717
Q9BTL3	Q9BTL3	reviewed	RAMAC_HUMAN	RNA guanine-N7 methyltransferase activating subunit (Protein FAM103A1) (RNA guanine-7 methyltransferase activating subunit) (RNMT-activating mRNA cap methyltransferase subunit) (RNMT-activating mini protein) (RAM)	RAMAC C15orf18 FAM103A1 RAMMET	Homo sapiens (Human)	118
E9PB15	E9PB15	reviewed	PTG3L_HUMAN	Putative protein PTGES3L (Prostaglandin E synthase 3-like)	PTGES3L	Homo sapiens (Human)	166
O15047	O15047	reviewed	SET1A_HUMAN	Histone-lysine N-methyltransferase SETD1A (EC 2.1.1.364) (Lysine N-methyltransferase 2F) (SET domain-containing protein 1A) (hSET1A) (Set1/Ash2 histone methyltransferase complex subunit SET1)	SETD1A KIAA0339 KMT2F SET1 SET1A	Homo sapiens (Human)	1707
Q96T17	Q96T17	reviewed	MA7D2_HUMAN	MAP7 domain-containing protein 2	MAP7D2	Homo sapiens (Human)	732
Q9BZX2	Q9BZX2	reviewed	UCK2_HUMAN	Uridine-cytidine kinase 2 (UCK 2) (EC 2.7.1.48) (Cytidine monophosphokinase 2) (Testis-specific protein TSA903) (Uridine monophosphokinase 2)	UCK2 UMPK	Homo sapiens (Human)	261
O00410	O00410	reviewed	IPO5_HUMAN	Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5)	IPO5 KPNB3 RANBP5	Homo sapiens (Human)	1097
Q13905	Q13905	reviewed	RPGF1_HUMAN	Rap guanine nucleotide exchange factor 1 (CRK SH3-binding GNRP) (Guanine nucleotide-releasing factor 2) (Protein C3G)	RAPGEF1 GRF2	Homo sapiens (Human)	1077
Q9BY89	Q9BY89	reviewed	K1671_HUMAN	Uncharacterized protein KIAA1671	KIAA1671	Homo sapiens (Human)	1806
Q9BZF9	Q9BZF9	reviewed	UACA_HUMAN	Uveal autoantigen with coiled-coil domains and ankyrin repeats	UACA KIAA1561	Homo sapiens (Human)	1416
Q9UL01	Q9UL01	reviewed	DSE_HUMAN	Dermatan-sulfate epimerase (DS epimerase) (EC 5.1.3.19) (Chondroitin-glucuronate 5-epimerase) (Squamous cell carcinoma antigen recognized by T-cells 2) (SART-2)	DSE SART2	Homo sapiens (Human)	958
Q09161	Q09161	reviewed	NCBP1_HUMAN	Nuclear cap-binding protein subunit 1 (80 kDa nuclear cap-binding protein) (CBP80) (NCBP 80 kDa subunit)	NCBP1 CBP80 NCBP	Homo sapiens (Human)	790
P18754	P18754	reviewed	RCC1_HUMAN	Regulator of chromosome condensation (Cell cycle regulatory protein) (Chromosome condensation protein 1)	RCC1 CHC1	Homo sapiens (Human)	421
Q15287	Q15287	reviewed	RNPS1_HUMAN	RNA-binding protein with serine-rich domain 1 (SR-related protein LDC2)	RNPS1 LDC2	Homo sapiens (Human)	305
Q86W92	Q86W92	reviewed	LIPB1_HUMAN	Liprin-beta-1 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein-binding protein 1) (PTPRF-interacting protein-binding protein 1) (hSGT2)	PPFIBP1 KIAA1230	Homo sapiens (Human)	1011
Q14669	Q14669	reviewed	TRIPC_HUMAN	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (E3 ubiquitin-protein ligase for Arf) (ULF) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	TRIP12 KIAA0045 ULF	Homo sapiens (Human)	1992
O94880	O94880	reviewed	PHF14_HUMAN	PHD finger protein 14	PHF14 KIAA0783	Homo sapiens (Human)	888
Q7Z2E3	Q7Z2E3	reviewed	APTX_HUMAN	Aprataxin (EC 3.6.1.71) (EC 3.6.1.72) (Forkhead-associated domain histidine triad-like protein) (FHA-HIT)	APTX AXA1	Homo sapiens (Human)	356
Q96L34	Q96L34	reviewed	MARK4_HUMAN	MAP/microtubule affinity-regulating kinase 4 (EC 2.7.11.1) (MAP/microtubule affinity-regulating kinase-like 1)	MARK4 KIAA1860 MARKL1	Homo sapiens (Human)	752
Q92466	Q92466	reviewed	DDB2_HUMAN	DNA damage-binding protein 2 (DDB p48 subunit) (DDBb) (Damage-specific DNA-binding protein 2) (UV-damaged DNA-binding protein 2) (UV-DDB 2)	DDB2	Homo sapiens (Human)	427
Q86VX9	Q86VX9	reviewed	MON1A_HUMAN	Vacuolar fusion protein MON1 homolog A	MON1A SAND1	Homo sapiens (Human)	652
Q5VZK9	Q5VZK9	reviewed	CARL1_HUMAN	F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A)	CARMIL1 CARMIL LRRC16 LRRC16A	Homo sapiens (Human)	1371
Q7RTP6	Q7RTP6	reviewed	MICA3_HUMAN	[F-actin]-monooxygenase MICAL3 (EC 1.14.13.225) (Molecule interacting with CasL protein 3) (MICAL-3)	MICAL3 KIAA0819 KIAA1364	Homo sapiens (Human)	2002
Q9BUQ8	Q9BUQ8	reviewed	DDX23_HUMAN	Probable ATP-dependent RNA helicase DDX23 (EC 3.6.4.13) (100 kDa U5 snRNP-specific protein) (DEAD box protein 23) (PRP28 homolog) (U5-100kD)	DDX23	Homo sapiens (Human)	820
Q4G0J3	Q4G0J3	reviewed	LARP7_HUMAN	La-related protein 7 (La ribonucleoprotein domain family member 7) (hLARP7) (P-TEFb-interaction protein for 7SK stability) (PIP7S)	LARP7 HDCMA18P	Homo sapiens (Human)	582
Q9UJF2	Q9UJF2	reviewed	NGAP_HUMAN	Ras GTPase-activating protein nGAP (RAS protein activator-like 2)	RASAL2 NGAP	Homo sapiens (Human)	1139
P42696	P42696	reviewed	RBM34_HUMAN	RNA-binding protein 34 (RNA-binding motif protein 34)	RBM34 KIAA0117	Homo sapiens (Human)	430
Q9UKJ3	Q9UKJ3	reviewed	GPTC8_HUMAN	G patch domain-containing protein 8	GPATCH8 GPATC8 KIAA0553	Homo sapiens (Human)	1502
Q96B36	Q96B36	reviewed	AKTS1_HUMAN	Proline-rich AKT1 substrate 1 (40 kDa proline-rich AKT substrate)	AKT1S1 PRAS40	Homo sapiens (Human)	256
O95232	O95232	reviewed	LC7L3_HUMAN	Luc7-like protein 3 (Cisplatin resistance-associated-overexpressed protein) (Luc7A) (Okadaic acid-inducible phosphoprotein OA48-18) (cAMP regulatory element-associated protein 1) (CRE-associated protein 1) (CREAP-1)	LUC7L3 CREAP1 CROP O48	Homo sapiens (Human)	432
Q9ULV3	Q9ULV3	reviewed	CIZ1_HUMAN	Cip1-interacting zinc finger protein (CDKN1A-interacting zinc finger protein 1) (Nuclear protein NP94) (Zinc finger protein 356)	CIZ1 LSFR1 NP94 ZNF356	Homo sapiens (Human)	898
Q9C0B1	Q9C0B1	reviewed	FTO_HUMAN	Alpha-ketoglutarate-dependent dioxygenase FTO (Fat mass and obesity-associated protein) (U6 small nuclear RNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (EC 1.14.11.-) (U6 small nuclear RNA N(6)-methyladenosine-demethylase FTO) (EC 1.14.11.-) (mRNA (2'-O-methyladenosine-N(6)-)-demethylase FTO) (m6A(m)-demethylase FTO) (EC 1.14.11.-) (mRNA N(6)-methyladenosine demethylase FTO) (EC 1.14.11.53) (tRNA N1-methyl adenine demethylase FTO) (EC 1.14.11.-)	FTO KIAA1752	Homo sapiens (Human)	505
Q14C86	Q14C86	reviewed	GAPD1_HUMAN	GTPase-activating protein and VPS9 domain-containing protein 1 (GAPex-5) (Rab5-activating protein 6)	GAPVD1 GAPEX5 KIAA1521 RAP6	Homo sapiens (Human)	1478
O60343	O60343	reviewed	TBCD4_HUMAN	TBC1 domain family member 4 (Akt substrate of 160 kDa) (AS160)	TBC1D4 AS160 KIAA0603	Homo sapiens (Human)	1298
Q9BRS8	Q9BRS8	reviewed	LARP6_HUMAN	La-related protein 6 (Acheron) (Achn) (La ribonucleoprotein domain family member 6)	LARP6	Homo sapiens (Human)	491
P22087	P22087	reviewed	FBRL_HUMAN	rRNA 2'-O-methyltransferase fibrillarin (EC 2.1.1.-) (34 kDa nucleolar scleroderma antigen) (Histone-glutamine methyltransferase) (U6 snRNA 2'-O-methyltransferase fibrillarin)	FBL FIB1 FLRN	Homo sapiens (Human)	321
Q96II8	Q96II8	reviewed	LRCH3_HUMAN	DISP complex protein LRCH3 (Leucine-rich repeat and calponin homology domain-containing protein 3)	LRCH3	Homo sapiens (Human)	777
P50548	P50548	reviewed	ERF_HUMAN	ETS domain-containing transcription factor ERF (Ets2 repressor factor) (PE-2)	ERF	Homo sapiens (Human)	548
Q96NW7	Q96NW7	reviewed	LRRC7_HUMAN	Leucine-rich repeat-containing protein 7 (Densin-180) (Densin) (Protein LAP1)	LRRC7 KIAA1365 LAP1	Homo sapiens (Human)	1537
Q01650	Q01650	reviewed	LAT1_HUMAN	Large neutral amino acids transporter small subunit 1 (4F2 light chain) (4F2 LC) (4F2LC) (CD98 light chain) (Integral membrane protein E16) (E16) (L-type amino acid transporter 1) (hLAT1) (Solute carrier family 7 member 5) (y+ system cationic amino acid transporter)	SLC7A5 CD98LC LAT1 MPE16	Homo sapiens (Human)	507
Q8N2F6	Q8N2F6	reviewed	ARM10_HUMAN	Armadillo repeat-containing protein 10 (Splicing variant involved in hepatocarcinogenesis protein)	ARMC10 SVH PSEC0198	Homo sapiens (Human)	343
Q92934	Q92934	reviewed	BAD_HUMAN	Bcl2-associated agonist of cell death (BAD) (Bcl-2-binding component 6) (Bcl-2-like protein 8) (Bcl2-L-8) (Bcl-xL/Bcl-2-associated death promoter) (Bcl2 antagonist of cell death)	BAD BBC6 BCL2L8	Homo sapiens (Human)	168
Q96GP6	Q96GP6	reviewed	SREC2_HUMAN	Scavenger receptor class F member 2 (SRECRP-1) (Scavenger receptor expressed by endothelial cells 2 protein) (SREC-II)	SCARF2 SREC2 SREPCR	Homo sapiens (Human)	871
P50542	P50542	reviewed	PEX5_HUMAN	Peroxisomal targeting signal 1 receptor (PTS1 receptor) (PTS1R) (PTS1-BP) (Peroxin-5) (Peroxisomal C-terminal targeting signal import receptor) (Peroxisome receptor 1)	PEX5 PXR1	Homo sapiens (Human)	639
Q9UKF7	Q9UKF7	reviewed	PITC1_HUMAN	Cytoplasmic phosphatidylinositol transfer protein 1 (Mammalian rdgB homolog beta) (M-rdgB beta) (MrdgBbeta) (Retinal degeneration B homolog beta) (RdgBbeta)	PITPNC1	Homo sapiens (Human)	332
Q9GZM8	Q9GZM8	reviewed	NDEL1_HUMAN	Nuclear distribution protein nudE-like 1 (Protein Nudel) (Mitosin-associated protein 1)	NDEL1 EOPA MITAP1 NUDEL	Homo sapiens (Human)	345
O15056	O15056	reviewed	SYNJ2_HUMAN	Synaptojanin-2 (EC 3.1.3.36) (Synaptic inositol 1,4,5-trisphosphate 5-phosphatase 2)	SYNJ2 KIAA0348	Homo sapiens (Human)	1496
Q7LBC6	Q7LBC6	reviewed	KDM3B_HUMAN	Lysine-specific demethylase 3B (EC 1.14.11.65) (JmjC domain-containing histone demethylation protein 2B) (Jumonji domain-containing protein 1B) (Nuclear protein 5qNCA) ([histone H3]-dimethyl-L-lysine(9) demethylase 3B)	KDM3B C5orf7 JHDM2B JMJD1B KIAA1082	Homo sapiens (Human)	1761
Q86YV5	Q86YV5	reviewed	PRAG1_HUMAN	Inactive tyrosine-protein kinase PRAG1 (PEAK1-related kinase-activating pseudokinase 1) (Pragmin) (Sugen kinase 223) (SgK223)	PRAG1 SGK223	Homo sapiens (Human)	1406
Q9Y3M2	Q9Y3M2	reviewed	CBY1_HUMAN	Protein chibby homolog 1 (ARPP-binding protein) (Cytosolic leucine-rich protein) (PIGEA-14) (PKD2 interactor, Golgi and endoplasmic reticulum-associated 1)	CBY1 ARB1 C22orf2 CBY PGEA1 HRIHFB2025	Homo sapiens (Human)	126
Q9H2K8	Q9H2K8	reviewed	TAOK3_HUMAN	Serine/threonine-protein kinase TAO3 (EC 2.7.11.1) (Cutaneous T-cell lymphoma-associated antigen HD-CL-09) (CTCL-associated antigen HD-CL-09) (Dendritic cell-derived protein kinase) (JNK/SAPK-inhibitory kinase) (Jun kinase-inhibitory kinase) (Kinase from chicken homolog A) (hKFC-A) (Thousand and one amino acid protein 3)	TAOK3 DPK JIK KDS MAP3K18	Homo sapiens (Human)	898
O60930	O60930	reviewed	RNH1_HUMAN	Ribonuclease H1 (RNase H1) (EC 3.1.26.4) (Ribonuclease H type II)	RNASEH1 RNH1	Homo sapiens (Human)	286
Q9HC56	Q9HC56	reviewed	PCDH9_HUMAN	Protocadherin-9	PCDH9	Homo sapiens (Human)	1237
O75140	O75140	reviewed	DEPD5_HUMAN	GATOR complex protein DEPDC5 (DEP domain-containing protein 5)	DEPDC5 KIAA0645	Homo sapiens (Human)	1603
Q8N111	Q8N111	reviewed	CEND_HUMAN	Cell cycle exit and neuronal differentiation protein 1 (BM88 antigen)	CEND1 BM88	Homo sapiens (Human)	149
A8MT19	A8MT19	reviewed	RHN2P_HUMAN	Putative rhophilin-2-like protein RHPN2P1 (Rhophilin-2 pseudogene 1)	RHPN2P1	Homo sapiens (Human)	583
P05556	P05556	reviewed	ITB1_HUMAN	Integrin beta-1 (Fibronectin receptor subunit beta) (Glycoprotein IIa) (GPIIA) (VLA-4 subunit beta) (CD antigen CD29)	ITGB1 FNRB MDF2 MSK12	Homo sapiens (Human)	798
P51825	P51825	reviewed	AFF1_HUMAN	AF4/FMR2 family member 1 (ALL1-fused gene from chromosome 4 protein) (Protein AF-4) (Protein FEL) (Proto-oncogene AF4)	AFF1 AF4 FEL MLLT2 PBM1	Homo sapiens (Human)	1210
Q86X02	Q86X02	reviewed	CDR2L_HUMAN	Cerebellar degeneration-related protein 2-like (Paraneoplastic 62 kDa antigen)	CDR2L HUMPPA	Homo sapiens (Human)	465
Q8NG08	Q8NG08	reviewed	HELB_HUMAN	DNA helicase B (hDHB) (EC 3.6.4.12)	HELB	Homo sapiens (Human)	1087
Q9H2L5	Q9H2L5	reviewed	RASF4_HUMAN	Ras association domain-containing protein 4	RASSF4 AD037	Homo sapiens (Human)	321
Q6IQ26	Q6IQ26	reviewed	DEN5A_HUMAN	DENN domain-containing protein 5A (Rab6-interacting protein 1) (Rab6IP1)	DENND5A KIAA1091 RAB6IP1	Homo sapiens (Human)	1287
Q9UBF8	Q9UBF8	reviewed	PI4KB_HUMAN	Phosphatidylinositol 4-kinase beta (PI4K-beta) (PI4Kbeta) (PtdIns 4-kinase beta) (EC 2.7.1.67) (NPIK) (PI4K92) (PI4KIII)	PI4KB PIK4CB	Homo sapiens (Human)	816
Q96FJ0	Q96FJ0	reviewed	STALP_HUMAN	AMSH-like protease (AMSH-LP) (EC 3.4.19.-) (STAM-binding protein-like 1)	STAMBPL1 AMSHLP KIAA1373	Homo sapiens (Human)	436
P15884	P15884	reviewed	ITF2_HUMAN	Transcription factor 4 (TCF-4) (Class B basic helix-loop-helix protein 19) (bHLHb19) (Immunoglobulin transcription factor 2) (ITF-2) (SL3-3 enhancer factor 2) (SEF-2)	TCF4 BHLHB19 ITF2 SEF2	Homo sapiens (Human)	667
Q07960	Q07960	reviewed	RHG01_HUMAN	Rho GTPase-activating protein 1 (CDC42 GTPase-activating protein) (GTPase-activating protein rhoGAP) (Rho-related small GTPase protein activator) (Rho-type GTPase-activating protein 1) (p50-RhoGAP)	ARHGAP1 CDC42GAP RHOGAP1	Homo sapiens (Human)	439
O94992	O94992	reviewed	HEXI1_HUMAN	Protein HEXIM1 (Cardiac lineage protein 1) (Estrogen down-regulated gene 1 protein) (Hexamethylene bis-acetamide-inducible protein 1) (Menage a quatre protein 1)	HEXIM1 CLP1 EDG1 HIS1 MAQ1	Homo sapiens (Human)	359
Q9UPN9	Q9UPN9	reviewed	TRI33_HUMAN	E3 ubiquitin-protein ligase TRIM33 (EC 2.3.2.27) (Ectodermin homolog) (RET-fused gene 7 protein) (Protein Rfg7) (RING-type E3 ubiquitin transferase TRIM33) (Transcription intermediary factor 1-gamma) (TIF1-gamma) (Tripartite motif-containing protein 33)	TRIM33 KIAA1113 RFG7 TIF1G	Homo sapiens (Human)	1127
P08865	P08865	reviewed	RSSA_HUMAN	40S ribosomal protein SA (37 kDa laminin receptor precursor) (37LRP) (37/67 kDa laminin receptor) (LRP/LR) (67 kDa laminin receptor) (67LR) (Colon carcinoma laminin-binding protein) (Laminin receptor 1) (LamR) (Laminin-binding protein precursor p40) (LBP/p40) (Multidrug resistance-associated protein MGr1-Ag) (NEM/1CHD4) (Small ribosomal subunit protein uS2)	RPSA LAMBR LAMR1	Homo sapiens (Human)	295
O15013	O15013	reviewed	ARHGA_HUMAN	Rho guanine nucleotide exchange factor 10	ARHGEF10 KIAA0294	Homo sapiens (Human)	1369
Q16637	Q16637	reviewed	SMN_HUMAN	Survival motor neuron protein (Component of gems 1) (Gemin-1)	SMN1 SMN SMNT; SMN2 SMNC	Homo sapiens (Human)	294
Q15884	Q15884	reviewed	F1892_HUMAN	Protein FAM189A2 (Protein X123)	FAM189A2 C9orf61 X123	Homo sapiens (Human)	450
Q9Y608	Q9Y608	reviewed	LRRF2_HUMAN	Leucine-rich repeat flightless-interacting protein 2 (LRR FLII-interacting protein 2)	LRRFIP2	Homo sapiens (Human)	721
O00470	O00470	reviewed	MEIS1_HUMAN	Homeobox protein Meis1	MEIS1	Homo sapiens (Human)	390
Q9BQK8	Q9BQK8	reviewed	LPIN3_HUMAN	Phosphatidate phosphatase LPIN3 (EC 3.1.3.4) (Lipin-3) (Lipin-3-like)	LPIN3 LIPN3L	Homo sapiens (Human)	851
Q6ZUT9	Q6ZUT9	reviewed	DEN5B_HUMAN	DENN domain-containing protein 5B (Rab6IP1-like protein)	DENND5B	Homo sapiens (Human)	1274
Q9Y2H2	Q9Y2H2	reviewed	SAC2_HUMAN	Phosphatidylinositide phosphatase SAC2 (EC 3.1.3.25) (Inositol polyphosphate 5-phosphatase F) (Sac domain-containing inositol phosphatase 2) (Sac domain-containing phosphoinositide 4-phosphatase 2) (hSAC2)	INPP5F KIAA0966 SAC2 MSTP007 MSTP047	Homo sapiens (Human)	1132
P43005	P43005	reviewed	EAA3_HUMAN	Excitatory amino acid transporter 3 (Excitatory amino-acid carrier 1) (Neuronal and epithelial glutamate transporter) (Sodium-dependent glutamate/aspartate transporter 3) (Solute carrier family 1 member 1)	SLC1A1 EAAC1 EAAT3 HEAAC1	Homo sapiens (Human)	524
Q4AC94	Q4AC94	reviewed	C2CD3_HUMAN	C2 domain-containing protein 3	C2CD3	Homo sapiens (Human)	2353
Q99958	Q99958	reviewed	FOXC2_HUMAN	Forkhead box protein C2 (Forkhead-related protein FKHL14) (Mesenchyme fork head protein 1) (MFH-1 protein) (Transcription factor FKH-14)	FOXC2 FKHL14 MFH1	Homo sapiens (Human)	501
O15234	O15234	reviewed	CASC3_HUMAN	Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz)	CASC3 MLN51	Homo sapiens (Human)	703
Q6PID6	Q6PID6	reviewed	TTC33_HUMAN	Tetratricopeptide repeat protein 33 (TPR repeat protein 33) (Osmosis-responsive factor)	TTC33	Homo sapiens (Human)	262
O94827	O94827	reviewed	PKHG5_HUMAN	Pleckstrin homology domain-containing family G member 5 (PH domain-containing family G member 5) (Guanine nucleotide exchange factor 720) (GEF720)	PLEKHG5 KIAA0720	Homo sapiens (Human)	1006
P30279	P30279	reviewed	CCND2_HUMAN	G1/S-specific cyclin-D2	CCND2	Homo sapiens (Human)	289
O75153	O75153	reviewed	CLU_HUMAN	Clustered mitochondria protein homolog	CLUH KIAA0664	Homo sapiens (Human)	1309
Q9Y3R5	Q9Y3R5	reviewed	DOP2_HUMAN	Protein dopey-2	DOP1B C21orf5 DOPEY2 KIAA0933	Homo sapiens (Human)	2298
Q7Z5P9	Q7Z5P9	reviewed	MUC19_HUMAN	Mucin-19 (MUC-19)	MUC19	Homo sapiens (Human)	8384
P52701	P52701	reviewed	MSH6_HUMAN	DNA mismatch repair protein Msh6 (hMSH6) (G/T mismatch-binding protein) (GTBP) (GTMBP) (MutS protein homolog 6) (MutS-alpha 160 kDa subunit) (p160)	MSH6 GTBP	Homo sapiens (Human)	1360
Q9UN42	Q9UN42	reviewed	AT1B4_HUMAN	Protein ATP1B4 (X,K-ATPase subunit beta-m) (X/potassium-transporting ATPase subunit beta-m)	ATP1B4	Homo sapiens (Human)	357
